Time;Speed;Voltage;Current;Distance;Altitude;Date;SpeedGPS;Latitude;Longitude;AccuracyPosition;BatteryPercentage;WrongCRCs;AssistLevel;OffRoadMode;ErrorCode;DisplayTemp;MotorTemp;
09:40:38.193;21.79;51.51;0.50;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:38.343;21.79;51.44;0.50;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:38.556;21.79;51.51;0.00;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:38.734;21.79;51.58;0.00;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:38.974;21.79;51.58;0.50;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:39.184;21.79;51.58;0.50;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:39.393;21.79;51.44;0.50;1.52;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:39.666;21.79;51.58;0.50;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:39.844;21.79;51.44;0.50;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:40.114;21.79;51.44;0.00;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:40.323;21.79;51.51;0.00;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:40.534;21.67;51.51;0.50;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:40.744;21.67;51.51;0.50;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:40.954;21.67;51.44;0.00;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:41.194;21.67;51.51;0.50;1.53;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:41.403;21.67;51.36;0.50;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:41.613;21.67;51.51;0.50;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:41.883;21.67;51.58;0.50;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:42.033;21.67;51.44;0.50;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:42.274;21.54;51.51;0.50;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:42.513;21.54;51.36;0.50;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:42.753;21.54;51.51;1.00;1.54;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:42.964;21.54;51.44;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:43.204;21.54;51.44;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:43.384;21.54;51.44;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:43.624;21.54;51.36;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
09:40:43.834;21.54;51.15;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;26;255;
09:40:44.043;21.54;51.51;0.50;1.55;48.46;2021-11-03;0.03;32.1779358044765;34.8671486768679;16.68;77;0;3;0;1;28;255;
